fecha,id_camion,tipo_camion,id_chofer,nombre_chofer,viajes,tierra_transportada,combustible,litros_cargados
2023-01-03,Art-17,Articulado,CH-12,Chofer 12,1,9.67,180.02,180.91
2023-01-03,Vol-08,Volquete Mediano,CH-16,Chofer 16,3,18.67,422.58,428.43
2023-01-03,Vol-01,Volquete Pequeño,CH-07,Chofer 7,3,16.25,196.58,197.88
2023-01-03,Art-16,Articulado,CH-19,Chofer 19,3,33.42,483.45,464.89
2023-01-03,Vol-04,Volquete Pequeño,CH-05,Chofer 5,3,16.68,208.83,198.75
2023-01-03,Vol-09,Volquete Mediano,CH-16,Chofer 16,2,13.07,225.25,224.45
2023-01-03,Vol-07,Volquete Mediano,CH-05,Chofer 5,4,29.68,392.7,387.77
2023-01-03,Art-20,Articulado,CH-19,Chofer 19,1,9.93,228.52,232.15
2023-01-03,Vol-12,Volquete Grande,CH-04,Chofer 4,3,31.88,516.1,523.14
2023-01-03,Vol-13,Volquete Grande,CH-20,Chofer 20,3,28.59,429.87,436.03
2023-01-03,Art-18,Articulado,CH-01,Chofer 1,3,41.67,676.9,687.16
2023-01-03,Vol-03,Volquete Pequeño,CH-11,Chofer 11,4,19.8,264.88,254.3
2023-01-04,Vol-09,Volquete Mediano,CH-11,Chofer 11,4,29.52,438.15,424.02
2023-01-04,Vol-06,Volquete Mediano,CH-09,Chofer 9,4,28.38,494.58,506.03
2023-01-04,Vol-05,Volquete Pequeño,CH-04,Chofer 4,6,32.7,562.71,582.87
2023-01-04,Vol-15,Volquete Grande,CH-17,Chofer 17,2,18.08,328.79,320.18
2023-01-04,Vol-11,Volquete Grande,CH-17,Chofer 17,3,28.04,413.57,397.03
2023-01-04,Vol-04,Volquete Pequeño,CH-04,Chofer 4,7,39.28,650.81,624.21
2023-01-04,Vol-07,Volquete Mediano,CH-07,Chofer 7,3,23.33,359.0,344.04
2023-01-04,Vol-01,Volquete Pequeño,CH-05,Chofer 5,4,18.38,298.07,303.21
2023-01-04,Art-20,Articulado,CH-04,Chofer 4,4,46.23,860.17,889.15
2023-01-04,Vol-02,Volquete Pequeño,CH-17,Chofer 17,5,25.51,333.46,340.16
2023-01-04,Vol-12,Volquete Grande,CH-10,Chofer 10,4,42.58,603.2,587.11
2023-01-04,Vol-14,Volquete Grande,CH-08,Chofer 8,3,27.4,426.72,440.06
2023-01-04,Art-16,Articulado,CH-07,Chofer 7,1,10.49,204.67,203.12
2023-01-04,Vol-13,Volquete Grande,CH-19,Chofer 19,2,17.73,299.12,284.5
2023-01-04,Vol-08,Volquete Mediano,CH-20,Chofer 20,4,31.5,568.74,561.62
2023-01-04,Vol-10,Volquete Mediano,CH-17,Chofer 17,4,29.91,485.45,482.36
2023-01-05,Art-18,Articulado,CH-14,Chofer 14,1,10.16,233.22,243.92
2023-01-05,Vol-07,Volquete Mediano,CH-16,Chofer 16,4,30.05,471.49,477.15
2023-01-05,Art-17,Articulado,CH-08,Chofer 8,3,34.08,535.05,522.53
2023-01-05,Vol-08,Volquete Mediano,CH-05,Chofer 5,2,15.09,286.68,292.36
2023-01-05,Vol-02,Volquete Pequeño,CH-17,Chofer 17,4,22.63,290.68,280.02
2023-01-05,Vol-01,Volquete Pequeño,CH-03,Chofer 3,4,29.8,377.57,386.1
2023-01-05,Vol-10,Volquete Mediano,CH-15,Chofer 15,4,30.83,462.96,475.81
2023-01-05,Vol-09,Volquete Mediano,CH-18,Chofer 18,5,45.41,516.1,520.96
2023-01-05,Vol-03,Volquete Pequeño,CH-25,Chofer 25,5,29.77,363.75,347.61
2023-01-05,Vol-04,Volquete Pequeño,CH-06,Chofer 6,6,38.66,486.59,498.76
2023-01-05,Vol-14,Volquete Grande,CH-03,Chofer 3,5,57.0,854.89,833.3
2023-01-05,Art-20,Articulado,CH-14,Chofer 14,2,16.06,360.23,352.12
2023-01-05,Vol-11,Volquete Grande,CH-04,Chofer 4,3,29.98,424.47,408.07
2023-01-05,Art-16,Articulado,CH-02,Chofer 2,1,10.4,226.51,222.16
2023-01-05,Vol-06,Volquete Mediano,CH-01,Chofer 1,6,57.77,692.2,666.87
2023-01-05,Vol-05,Volquete Pequeño,CH-15,Chofer 15,6,32.96,534.66,542.11
2023-01-06,Art-20,Articulado,CH-19,Chofer 19,3,29.53,682.1,700.44
2023-01-06,Vol-05,Volquete Pequeño,CH-20,Chofer 20,5,25.6,476.81,476.45
2023-01-06,Vol-12,Volquete Grande,CH-13,Chofer 13,3,29.8,456.71,454.89
2023-01-06,Vol-10,Volquete Mediano,CH-16,Chofer 16,2,12.2,205.33,208.22
2023-01-06,Vol-09,Volquete Mediano,CH-08,Chofer 8,3,26.89,362.19,379.33
2023-01-06,Vol-08,Volquete Mediano,CH-19,Chofer 19,5,36.02,520.54,509.02
2023-01-06,Art-16,Articulado,CH-22,Chofer 22,1,9.75,200.27,204.09
2023-01-06,Vol-01,Volquete Pequeño,CH-09,Chofer 9,4,19.02,317.59,323.55
2023-01-06,Vol-04,Volquete Pequeño,CH-24,Chofer 24,3,14.71,263.83,255.51
2023-01-06,Vol-13,Volquete Grande,CH-15,Chofer 15,3,30.67,526.33,512.44
2023-01-06,Vol-03,Volquete Pequeño,CH-23,Chofer 23,6,32.25,412.37,397.24
2023-01-06,Vol-11,Volquete Grande,CH-03,Chofer 3,4,50.19,602.8,604.74
2023-01-06,Vol-14,Volquete Grande,CH-13,Chofer 13,3,27.14,378.88,387.87
2023-01-06,Vol-15,Volquete Grande,CH-10,Chofer 10,4,42.39,681.77,653.76
2023-01-06,Art-17,Articulado,CH-12,Chofer 12,1,10.33,188.41,191.21
2023-01-06,Art-18,Articulado,CH-18,Chofer 18,1,11.66,202.97,204.73
2023-01-06,Vol-02,Volquete Pequeño,CH-08,Chofer 8,6,35.33,448.79,466.73
2023-01-07,Vol-10,Volquete Mediano,CH-24,Chofer 24,4,22.84,460.39,482.0
2023-01-07,Vol-02,Volquete Pequeño,CH-04,Chofer 4,6,36.15,521.94,523.77
2023-01-07,Vol-09,Volquete Mediano,CH-19,Chofer 19,3,23.53,317.53,332.39
2023-01-07,Vol-14,Volquete Grande,CH-04,Chofer 4,3,25.01,380.67,384.88
2023-01-07,Vol-12,Volquete Grande,CH-06,Chofer 6,1,9.9,129.26,129.02
2023-01-07,Vol-03,Volquete Pequeño,CH-11,Chofer 11,3,15.67,244.67,245.86
2023-01-07,Art-17,Articulado,CH-02,Chofer 2,3,29.21,674.37,657.82
2023-01-07,Vol-11,Volquete Grande,CH-05,Chofer 5,4,33.73,505.61,523.34
2023-01-07,Vol-08,Volquete Mediano,CH-12,Chofer 12,3,23.69,422.34,443.08
2023-01-07,Vol-04,Volquete Pequeño,CH-02,Chofer 2,5,30.77,342.36,352.47
2023-01-07,Vol-07,Volquete Mediano,CH-14,Chofer 14,4,30.31,542.43,525.42
2023-01-07,Art-20,Articulado,CH-19,Chofer 19,2,19.29,460.35,455.4
2023-01-07,Vol-15,Volquete Grande,CH-08,Chofer 8,5,47.05,814.13,846.67
2023-01-07,Art-16,Articulado,CH-06,Chofer 6,1,11.43,188.43,186.38
2023-01-07,Art-19,Articulado,CH-02,Chofer 2,3,30.8,697.55,706.22
2023-01-07,Art-18,Articulado,CH-19,Chofer 19,1,11.81,215.5,208.32
2023-01-08,Art-16,Articulado,CH-22,Chofer 22,1,10.67,168.85,174.7
2023-01-08,Vol-10,Volquete Mediano,CH-24,Chofer 24,3,18.72,358.04,354.78
2023-01-08,Vol-08,Volquete Mediano,CH-13,Chofer 13,6,55.6,760.65,775.4
2023-01-08,Vol-03,Volquete Pequeño,CH-04,Chofer 4,5,31.56,473.45,466.0
2023-01-08,Vol-14,Volquete Grande,CH-06,Chofer 6,4,34.38,590.88,617.31
2023-01-08,Vol-12,Volquete Grande,CH-12,Chofer 12,2,19.43,311.16,298.78
2023-01-08,Vol-02,Volquete Pequeño,CH-16,Chofer 16,3,13.89,280.56,286.37
2023-01-08,Art-17,Articulado,CH-10,Chofer 10,2,23.38,332.37,319.22
2023-01-08,Art-18,Articulado,CH-09,Chofer 9,3,34.47,588.2,565.45
2023-01-08,Vol-15,Volquete Grande,CH-21,Chofer 21,3,29.84,419.79,411.87
2023-01-08,Art-19,Articulado,CH-19,Chofer 19,2,21.02,383.84,366.75
2023-01-08,Vol-11,Volquete Grande,CH-09,Chofer 9,3,26.35,380.57,377.31
2023-01-08,Vol-05,Volquete Pequeño,CH-11,Chofer 11,4,21.72,315.61,315.0
2023-01-08,Vol-13,Volquete Grande,CH-17,Chofer 17,2,21.7,269.79,271.88
2023-01-08,Art-20,Articulado,CH-20,Chofer 20,2,19.07,466.38,459.96
2023-01-08,Vol-09,Volquete Mediano,CH-11,Chofer 11,2,15.2,206.27,204.51
2023-01-08,Vol-06,Volquete Mediano,CH-08,Chofer 8,4,33.87,498.31,476.74
2023-01-08,Vol-04,Volquete Pequeño,CH-23,Chofer 23,6,35.97,473.9,479.82
2023-01-08,Vol-07,Volquete Mediano,CH-16,Chofer 16,3,21.18,297.46,305.66
2023-01-09,Vol-13,Volquete Grande,CH-01,Chofer 1,4,41.8,533.27,518.93
2023-01-09,Vol-05,Volquete Pequeño,CH-08,Chofer 8,6,33.15,537.58,520.3
2023-01-09,Vol-14,Volquete Grande,CH-01,Chofer 1,5,52.58,896.62,905.87
2023-01-09,Art-19,Articulado,CH-14,Chofer 14,2,18.92,383.55,390.0
2023-01-09,Vol-09,Volquete Mediano,CH-21,Chofer 21,2,15.0,252.79,258.75
2023-01-09,Vol-10,Volquete Mediano,CH-21,Chofer 21,3,23.65,314.13,316.74
2023-01-09,Art-20,Articulado,CH-18,Chofer 18,1,10.91,207.22,202.42
2023-01-09,Vol-12,Volquete Grande,CH-05,Chofer 5,2,15.43,332.86,328.29
2023-01-09,Art-16,Articulado,CH-21,Chofer 21,2,24.82,342.42,355.04
2023-01-09,Vol-11,Volquete Grande,CH-24,Chofer 24,2,15.91,296.53,287.1
2023-01-09,Vol-07,Volquete Mediano,CH-18,Chofer 18,6,53.49,616.13,636.77
2023-01-09,Vol-08,Volquete Mediano,CH-04,Chofer 4,4,31.3,556.91,567.56
2023-01-09,Vol-01,Volquete Pequeño,CH-05,Chofer 5,4,18.31,326.93,331.89
2023-01-09,Vol-04,Volquete Pequeño,CH-12,Chofer 12,4,22.3,257.41,248.06
2023-01-09,Vol-15,Volquete Grande,CH-25,Chofer 25,4,34.64,631.94,631.58
2023-01-09,Vol-03,Volquete Pequeño,CH-10,Chofer 10,5,37.66,387.0,382.48
2023-01-10,Vol-12,Volquete Grande,CH-22,Chofer 22,2,16.55,304.78,294.48
2023-01-10,Art-18,Articulado,CH-20,Chofer 20,1,10.03,199.71,201.64
2023-01-10,Vol-09,Volquete Mediano,CH-02,Chofer 2,3,21.06,338.62,335.67
2023-01-10,Vol-06,Volquete Mediano,CH-11,Chofer 11,5,36.01,590.32,565.29
2023-01-10,Art-19,Articulado,CH-18,Chofer 18,3,33.29,621.66,613.01
2023-01-10,Vol-07,Volquete Mediano,CH-12,Chofer 12,4,35.8,568.72,585.22
2023-01-10,Vol-13,Volquete Grande,CH-25,Chofer 25,2,21.1,344.75,352.76
2023-01-10,Art-17,Articulado,CH-21,Chofer 21,2,23.97,435.86,441.84
2023-01-10,Art-20,Articulado,CH-08,Chofer 8,2,21.27,478.03,499.25
2023-01-10,Vol-08,Volquete Mediano,CH-15,Chofer 15,2,15.22,248.47,260.88
2023-01-10,Vol-15,Volquete Grande,CH-21,Chofer 21,1,8.61,163.86,158.82
2023-01-10,Vol-10,Volquete Mediano,CH-08,Chofer 8,4,38.87,565.3,563.84
2023-01-10,Art-16,Articulado,CH-20,Chofer 20,1,11.03,162.96,164.53
2023-01-10,Vol-04,Volquete Pequeño,CH-03,Chofer 3,6,44.99,476.36,494.7
2023-01-10,Vol-05,Volquete Pequeño,CH-11,Chofer 11,5,22.86,370.45,371.91
2023-01-10,Vol-03,Volquete Pequeño,CH-22,Chofer 22,3,15.23,252.09,261.82
2023-01-11,Vol-15,Volquete Grande,CH-25,Chofer 25,2,17.86,251.0,246.9
2023-01-11,Vol-09,Volquete Mediano,CH-20,Chofer 20,4,30.06,429.85,413.1
2023-01-11,Art-17,Articulado,CH-14,Chofer 14,2,18.37,414.26,405.03
2023-01-11,Art-20,Articulado,CH-21,Chofer 21,2,24.24,388.44,383.95
2023-01-11,Vol-08,Volquete Mediano,CH-24,Chofer 24,2,12.77,286.3,297.3
2023-01-11,Vol-01,Volquete Pequeño,CH-24,Chofer 24,4,17.35,334.52,323.38
2023-01-11,Vol-06,Volquete Mediano,CH-20,Chofer 20,3,23.32,321.2,331.82
2023-01-11,Vol-05,Volquete Pequeño,CH-14,Chofer 14,3,12.9,208.95,203.11
2023-01-11,Vol-04,Volquete Pequeño,CH-17,Chofer 17,5,28.72,402.92,406.84
2023-01-11,Vol-13,Volquete Grande,CH-17,Chofer 17,4,37.47,575.1,589.95
2023-01-11,Art-18,Articulado,CH-17,Chofer 17,2,22.23,355.81,357.13
2023-01-11,Art-16,Articulado,CH-09,Chofer 9,1,10.73,228.81,227.84
2023-01-11,Vol-07,Volquete Mediano,CH-24,Chofer 24,2,14.18,283.74,294.02
2023-01-11,Vol-11,Volquete Grande,CH-09,Chofer 9,2,16.62,351.79,360.07
2023-01-11,Vol-14,Volquete Grande,CH-02,Chofer 2,1,7.75,163.41,163.34
2023-01-11,Art-19,Articulado,CH-06,Chofer 6,1,11.98,168.76,175.41
2023-01-12,Vol-04,Volquete Pequeño,CH-19,Chofer 19,4,21.77,276.53,271.94
2023-01-12,Vol-07,Volquete Mediano,CH-13,Chofer 13,4,38.69,514.59,520.69
2023-01-12,Vol-09,Volquete Mediano,CH-06,Chofer 6,4,34.1,473.37,491.31
2023-01-12,Vol-01,Volquete Pequeño,CH-10,Chofer 10,5,31.92,373.62,382.72
2023-01-12,Vol-06,Volquete Mediano,CH-18,Chofer 18,4,33.66,385.23,377.02
2023-01-12,Vol-05,Volquete Pequeño,CH-14,Chofer 14,4,17.55,327.66,315.07
2023-01-12,Vol-11,Volquete Grande,CH-02,Chofer 2,3,28.64,379.26,389.16
2023-01-12,Vol-02,Volquete Pequeño,CH-10,Chofer 10,8,52.44,727.07,719.23
2023-01-12,Vol-12,Volquete Grande,CH-15,Chofer 15,3,26.52,414.17,422.8
2023-01-12,Art-19,Articulado,CH-22,Chofer 22,2,20.35,395.77,378.28
2023-01-12,Vol-15,Volquete Grande,CH-24,Chofer 24,2,13.93,242.95,231.34
2023-01-12,Vol-10,Volquete Mediano,CH-06,Chofer 6,4,32.4,541.21,527.81
2023-01-12,Vol-03,Volquete Pequeño,CH-23,Chofer 23,3,19.43,232.91,231.78
2023-01-12,Art-20,Articulado,CH-07,Chofer 7,1,9.36,226.07,221.52
2023-01-12,Vol-14,Volquete Grande,CH-02,Chofer 2,2,15.08,344.17,360.11
2023-01-12,Art-16,Articulado,CH-24,Chofer 24,2,16.54,470.98,467.2
2023-01-12,Vol-13,Volquete Grande,CH-20,Chofer 20,1,10.3,144.56,150.26
2023-01-12,Vol-08,Volquete Mediano,CH-15,Chofer 15,3,26.36,316.85,328.52
2023-01-12,Art-18,Articulado,CH-24,Chofer 24,2,17.76,474.91,459.98
2023-01-13,Vol-11,Volquete Grande,CH-16,Chofer 16,2,15.34,247.71,249.74
2023-01-13,Vol-09,Volquete Mediano,CH-21,Chofer 21,3,26.9,309.54,308.44
2023-01-13,Art-19,Articulado,CH-18,Chofer 18,4,46.33,832.01,814.67
2023-01-13,Vol-02,Volquete Pequeño,CH-13,Chofer 13,5,31.24,343.35,329.71
2023-01-13,Art-18,Articulado,CH-14,Chofer 14,2,18.02,399.82,404.55
2023-01-13,Vol-01,Volquete Pequeño,CH-20,Chofer 20,5,29.32,331.59,332.72
2023-01-13,Art-17,Articulado,CH-09,Chofer 9,1,9.32,162.66,155.8
2023-01-13,Vol-06,Volquete Mediano,CH-22,Chofer 22,4,30.05,391.91,398.58
2023-01-13,Vol-04,Volquete Pequeño,CH-08,Chofer 8,4,27.24,346.43,330.2
2023-01-13,Art-16,Articulado,CH-06,Chofer 6,3,32.41,704.45,735.96
2023-01-13,Vol-10,Volquete Mediano,CH-20,Chofer 20,5,36.98,675.56,647.19
2023-01-13,Art-20,Articulado,CH-20,Chofer 20,3,30.72,595.42,568.07
2023-01-13,Vol-05,Volquete Pequeño,CH-10,Chofer 10,7,45.68,610.36,616.05
2023-01-13,Vol-12,Volquete Grande,CH-12,Chofer 12,2,19.67,319.04,318.99
2023-01-13,Vol-13,Volquete Grande,CH-18,Chofer 18,3,29.38,477.59,469.58
2023-01-14,Art-18,Articulado,CH-19,Chofer 19,1,11.79,198.93,206.36
2023-01-14,Vol-13,Volquete Grande,CH-02,Chofer 2,4,40.14,637.2,668.56
2023-01-14,Vol-11,Volquete Grande,CH-22,Chofer 22,2,17.24,340.32,331.33
2023-01-14,Vol-02,Volquete Pequeño,CH-08,Chofer 8,3,17.76,249.78,253.09
2023-01-14,Vol-06,Volquete Mediano,CH-14,Chofer 14,3,18.27,413.39,411.13
2023-01-14,Art-17,Articulado,CH-24,Chofer 24,2,16.46,426.02,408.78
2023-01-14,Vol-09,Volquete Mediano,CH-17,Chofer 17,4,29.15,510.09,501.18
2023-01-14,Vol-14,Volquete Grande,CH-08,Chofer 8,3,28.66,431.4,420.05
2023-01-14,Vol-04,Volquete Pequeño,CH-11,Chofer 11,4,21.38,313.44,318.75
2023-01-14,Vol-08,Volquete Mediano,CH-09,Chofer 9,4,29.36,431.75,436.81
2023-01-14,Art-19,Articulado,CH-01,Chofer 1,2,24.19,416.89,410.91
2023-01-14,Vol-05,Volquete Pequeño,CH-12,Chofer 12,3,16.0,273.04,281.39
2023-01-14,Art-16,Articulado,CH-15,Chofer 15,2,20.63,363.16,347.08
2023-01-14,Vol-12,Volquete Grande,CH-05,Chofer 5,2,17.32,244.72,235.47
2023-01-14,Vol-07,Volquete Mediano,CH-06,Chofer 6,4,36.67,460.3,459.37
2023-01-15,Vol-01,Volquete Pequeño,CH-23,Chofer 23,4,21.78,280.11,286.57
2023-01-15,Vol-03,Volquete Pequeño,CH-06,Chofer 6,4,24.56,363.28,379.43
2023-01-15,Vol-13,Volquete Grande,CH-10,Chofer 10,4,43.42,538.6,556.42
2023-01-15,Vol-09,Volquete Mediano,CH-15,Chofer 15,3,25.27,387.29,394.13
2023-01-15,Vol-10,Volquete Mediano,CH-19,Chofer 19,3,25.55,407.06,413.86
2023-01-15,Vol-05,Volquete Pequeño,CH-09,Chofer 9,4,21.83,262.17,274.68
2023-01-15,Vol-14,Volquete Grande,CH-09,Chofer 9,2,17.02,330.29,316.77
2023-01-15,Art-16,Articulado,CH-09,Chofer 9,2,20.94,468.11,465.21
2023-01-15,Vol-12,Volquete Grande,CH-02,Chofer 2,2,19.03,335.74,333.57
2023-01-15,Vol-04,Volquete Pequeño,CH-11,Chofer 11,3,17.09,223.52,226.44
2023-01-15,Vol-06,Volquete Mediano,CH-07,Chofer 7,3,21.27,342.78,344.44
2023-01-15,Art-17,Articulado,CH-01,Chofer 1,2,23.25,331.71,335.14
2023-01-15,Art-19,Articulado,CH-14,Chofer 14,1,9.13,220.75,220.76
2023-01-15,Art-20,Articulado,CH-21,Chofer 21,2,22.0,324.1,318.96
2023-01-15,Vol-08,Volquete Mediano,CH-12,Chofer 12,4,29.91,485.11,472.79
2023-01-15,Vol-15,Volquete Grande,CH-04,Chofer 4,4,37.89,652.35,682.07
2023-01-15,Vol-07,Volquete Mediano,CH-13,Chofer 13,4,39.62,466.73,485.24
2023-01-16,Vol-01,Volquete Pequeño,CH-16,Chofer 16,4,18.12,381.02,393.33
2023-01-16,Art-18,Articulado,CH-11,Chofer 11,1,9.88,228.75,235.61
2023-01-16,Vol-08,Volquete Mediano,CH-07,Chofer 7,4,27.9,560.21,555.98
2023-01-16,Vol-07,Volquete Mediano,CH-22,Chofer 22,3,25.06,367.23,350.47
2023-01-16,Vol-09,Volquete Mediano,CH-10,Chofer 10,5,46.76,670.5,680.33
2023-01-16,Vol-12,Volquete Grande,CH-24,Chofer 24,3,21.37,511.18,531.62
2023-01-16,Vol-14,Volquete Grande,CH-16,Chofer 16,1,6.64,163.92,169.67
2023-01-16,Vol-10,Volquete Mediano,CH-07,Chofer 7,3,22.77,301.76,305.49
2023-01-16,Art-17,Articulado,CH-01,Chofer 1,1,11.64,229.54,228.92
2023-01-16,Art-16,Articulado,CH-21,Chofer 21,2,21.67,323.78,328.38
2023-01-16,Vol-02,Volquete Pequeño,CH-07,Chofer 7,3,14.65,249.07,248.99
2023-01-16,Vol-03,Volquete Pequeño,CH-02,Chofer 2,4,20.96,332.42,338.27
2023-01-16,Vol-06,Volquete Mediano,CH-10,Chofer 10,6,58.07,861.48,829.47
2023-01-16,Vol-13,Volquete Grande,CH-19,Chofer 19,2,19.62,280.47,291.84
2023-01-16,Vol-05,Volquete Pequeño,CH-13,Chofer 13,4,22.98,264.89,265.39
2023-01-16,Art-19,Articulado,CH-02,Chofer 2,1,10.52,165.59,167.92
2023-01-16,Art-20,Articulado,CH-08,Chofer 8,2,22.67,371.89,365.68
2023-01-16,Vol-11,Volquete Grande,CH-06,Chofer 6,4,35.47,570.83,563.01
2023-01-16,Vol-04,Volquete Pequeño,CH-03,Chofer 3,5,33.79,409.97,428.73
2023-01-17,Vol-02,Volquete Pequeño,CH-21,Chofer 21,6,32.61,433.35,445.83
2023-01-17,Vol-09,Volquete Mediano,CH-01,Chofer 1,4,32.88,396.12,380.97
2023-01-17,Art-20,Articulado,CH-23,Chofer 23,4,40.02,755.24,724.1
2023-01-17,Art-18,Articulado,CH-25,Chofer 25,1,12.03,195.78,197.75
2023-01-17,Vol-14,Volquete Grande,CH-23,Chofer 23,3,24.43,501.53,505.27
2023-01-17,Vol-05,Volquete Pequeño,CH-05,Chofer 5,4,17.99,325.09,329.25
2023-01-17,Vol-06,Volquete Mediano,CH-24,Chofer 24,1,5.94,130.63,125.94
2023-01-17,Vol-13,Volquete Grande,CH-07,Chofer 7,2,17.7,260.82,265.91
2023-01-17,Vol-11,Volquete Grande,CH-18,Chofer 18,3,33.82,463.15,483.19
2023-01-17,Vol-07,Volquete Mediano,CH-02,Chofer 2,3,25.12,398.13,385.19
2023-01-17,Vol-03,Volquete Pequeño,CH-03,Chofer 3,6,46.19,542.44,551.46
2023-01-17,Vol-04,Volquete Pequeño,CH-02,Chofer 2,5,28.41,369.89,370.12
2023-01-17,Vol-08,Volquete Mediano,CH-18,Chofer 18,4,34.15,547.48,520.12
2023-01-17,Art-17,Articulado,CH-11,Chofer 11,3,27.07,494.72,508.61
2023-01-17,Vol-01,Volquete Pequeño,CH-10,Chofer 10,7,45.48,556.55,570.7
2023-01-17,Vol-12,Volquete Grande,CH-24,Chofer 24,2,13.55,248.96,255.99
2023-01-17,Art-19,Articulado,CH-14,Chofer 14,1,8.17,215.37,205.95
2023-01-17,Vol-10,Volquete Mediano,CH-04,Chofer 4,3,23.66,319.8,309.36
2023-01-17,Art-16,Articulado,CH-04,Chofer 4,3,34.02,582.26,560.76
2023-01-18,Vol-01,Volquete Pequeño,CH-07,Chofer 7,3,16.58,252.41,244.81
2023-01-18,Vol-04,Volquete Pequeño,CH-05,Chofer 5,4,22.16,318.45,306.02
2023-01-18,Vol-08,Volquete Mediano,CH-11,Chofer 11,4,27.63,477.74,461.02
2023-01-18,Art-20,Articulado,CH-20,Chofer 20,2,18.39,424.27,437.46
2023-01-18,Vol-11,Volquete Grande,CH-20,Chofer 20,2,19.54,255.98,245.79
2023-01-18,Vol-10,Volquete Mediano,CH-24,Chofer 24,3,17.89,387.09,384.68
2023-01-18,Vol-12,Volquete Grande,CH-01,Chofer 1,3,33.92,478.68,497.6
2023-01-18,Vol-09,Volquete Mediano,CH-08,Chofer 8,5,39.41,693.45,690.03
